name,sub location,rating,reviewers amount,price,breakfast,free cancellation,pets,wifi,kitchen,parking,air conditioning
Rottach Apartments - Ferienwohnungen am Tegernsee,Rottach-Egern,9.0,84,1781,0,0,0,1,1,1,0
relexa hotel München, Munich,8.3,2,3432,0,0,1,1,0,0,1
Europa Hotel Kühlungsborn,Kühlungsborn,8.5,2,3891,1,1,0,1,1,1,0
Der schöne Asten - Resort Winterberg, Winterberg,7.3,1,2685,1,0,1,1,0,1,0
Am Achterwasser DORF 12,Rankwitz,7.6,142,1921,1,0,1,1,1,1,0
Rugard Thermal Strandhotel,Binz,7.4,1,4596,1,1,0,1,0,1,0
Café Orth,Westerland,8.0,159,2534,1,0,1,1,0,0,0
Baltic House Timmendorf,Timmendorfer Strand,8.6,96,2908,1,0,1,1,1,1,0
Klassik Appartements,Helgoland,7.6,180,3064,1,0,1,1,1,0,0
Ferienhauspark Asgard im Dampland,Damp,7.3,1,3375,0,0,1,1,1,1,0
Hotel Kolossos Düsseldorf - Neuss,Neuss,8.0,225,2782,1,0,0,1,1,1,0
Osteiner Hof by The Apartment Suite, Mainz,9.4,1,3783,1,0,1,1,1,1,0
Heaven House Timmendorf,Timmendorfer Strand,8.6,55,2467,1,0,1,1,1,1,0
Hotel Residenz Waldoase,Ahlbeck,8.3,495,2198,0,0,0,1,1,1,0
Speedys Gästehaus direkt am Brünnchen,Herresbach,9.6,359,2763,0,0,1,1,1,1,0
Ferienwohnungen am Rosenhof,Kühlungsborn,7.9,86,1297,1,0,1,1,1,1,0
Familien Aparthotel Panoramic,Bad Lauterberg,6.8,462,2935,0,0,0,1,0,1,0
Inselhotel Cornelius,Norderney,7.6,84,2824,1,1,0,0,0,0,0
Hotel Paintner,Germering,8.1,168,2454,0,1,1,1,0,1,0
Hotel Im Tannengrund,Langelsheim,7.7,613,4154,0,1,1,1,0,1,0
Germina Apart,Oberhof,8.9,176,1899,0,0,0,1,1,1,0
smûk - Luxus Dachgeschoss,Westerland,9.4,41,3272,1,0,0,1,1,1,0
Seebrise mit Musik und Wein,Meersburg,9.3,225,2207,1,0,0,1,1,1,0
THE FLAG München M., Munich,8.6,1,2738,0,0,1,1,1,1,0
WachtRaum Reutlingen - Altstadt Apartment & Design Rooms an Stadthalle & Marktplatz,Reutlingen,9.0,316,2220,1,0,0,1,1,1,0
